GameID,qtr,down,SideofField,yrdln,yrdline100,posteam,DefensiveTeam,desc,Yards.Gained,Touchdown,PlayType,Passer,PassAttempt,PassOutcome,PassLength,Rusher,RushAttempt,Receiver,Reception,Pos_RB_Rush,Pos_RB_Rec,Pos_WR_Rec,Pos_TE_Rec,Pos_QB_Rush,Pos_WR_Rush,NewPos
2015101103,4,4.0,WAS,13.0,13.0,ATL,WAS,(:51) (Shotgun) M.Ryan pass short middle to R.White to WAS 6 for 7 yards (K.Robinson; B.Breeland).,7,0,Pass,M.Ryan,1,Complete,Short,,0,R.White,1,,,WR,,,,WR
2015101103,4,1.0,WAS,6.0,6.0,ATL,WAS,"(:30) (No Huddle, Shotgun) D.Freeman right end for 6 yards, TOUCHDOWN.",6,1,Run,,0,,,D.Freeman,1,,0,RB,,,,,,RB
2015101104,1,3.0,JAC,20.0,20.0,TB,JAC,(10:54) (Shotgun) J.Winston scrambles left end pushed ob at JAC 18 for 2 yards (T.Smith).,2,0,Run,,0,,,J.Winston,1,,0,,,,,QB,,QB
2015101104,2,1.0,TB,12.0,12.0,JAC,TB,"(14:29) (Shotgun) B.Bortles pass short middle to A.Hurns for 12 yards, TOUCHDOWN.",12,1,Pass,B.Bortles,1,Complete,Short,,0,A.Hurns,1,,,WR,,,,WR
2015101104,2,1.0,JAC,17.0,17.0,TB,JAC,"(8:59) D.Martin right end to JAC 13 for 4 yards (T.Smith, T.Armbrister).",4,0,Run,,0,,,D.Martin,1,,0,RB,,,,,,RB
2015101104,2,2.0,JAC,13.0,13.0,TB,JAC,(8:18) R.Fragel reported in as eligible.  D.Martin left guard to JAC 10 for 3 yards (T.Smith).,3,0,Run,,0,,,D.Martin,1,,0,RB,,,,,,RB
2015101104,2,3.0,JAC,10.0,10.0,TB,JAC,"(7:34) J.Winston pass short middle to D.Martin for 10 yards, TOUCHDOWN [J.Odrick].",10,1,Pass,J.Winston,1,Complete,Short,,0,D.Martin,1,,RB,,,,,RB
2015101104,2,1.0,JAC,20.0,20.0,TB,JAC,(4:41) C.Sims up the middle to JAC 20 for no gain (A.Colvin).,0,0,Run,,0,,,C.Sims,1,,0,RB,,,,,,RB
2015101104,2,2.0,JAC,20.0,20.0,TB,JAC,(3:58) (Shotgun) J.Winston pass short middle to M.Evans to JAC 3 for 17 yards (S.Brown).,17,0,Pass,J.Winston,1,Complete,Short,,0,M.Evans,1,,,WR,,,,WR
2015101104,2,1.0,JAC,3.0,3.0,TB,JAC,"(3:18) D.Martin right guard to JAC 1 for 2 yards (T.Alualu, R.Miller).",2,0,Run,,0,,,D.Martin,1,,0,RB,,,,,,RB
2015101104,2,2.0,JAC,1.0,1.0,TB,JAC,"(2:31) R.Fragel reported in as eligible.  D.Martin right tackle for 1 yard, TOUCHDOWN.",1,1,Run,,0,,,D.Martin,1,,0,RB,,,,,,RB
2015101104,2,1.0,TB,13.0,13.0,JAC,TB,"(:45) (No Huddle, Shotgun) B.Bortles pass incomplete short middle to T.Yeldon (L.David).",0,0,Pass,B.Bortles,1,Incomplete Pass,Short,,0,T.Yeldon,0,,RB,,,,,RB
2015101104,2,2.0,TB,13.0,13.0,JAC,TB,"(:40) (Shotgun) B.Bortles pass short middle to A.Robinson for 13 yards, TOUCHDOWN.",13,1,Pass,B.Bortles,1,Complete,Short,,0,A.Robinson,1,,,WR,,,,WR
2015101104,3,1.0,TB,15.0,15.0,JAC,TB,"(11:01) (Shotgun) T.Yeldon right guard to TB 13 for 2 yards (L.David, T.McDaniel).",2,0,Run,,0,,,T.Yeldon,1,,0,RB,,,,,,RB
2015101104,3,2.0,TB,13.0,13.0,JAC,TB,(10:21) B.Bortles pass incomplete short right. thrown away from outside pocket,0,0,Pass,B.Bortles,1,Incomplete Pass,Short,,0,,0,,,,,,,-99
2015101104,3,3.0,TB,13.0,13.0,JAC,TB,(10:13) (Shotgun) B.Bortles pass incomplete short middle to M.Lewis (M.Wright).,0,0,Pass,B.Bortles,1,Incomplete Pass,Short,,0,M.Lewis,0,,,,TE,,,TE
2015101104,3,1.0,TB,11.0,11.0,JAC,TB,(3:50) (Shotgun) B.Bortles pass short left to B.Walters to TB 4 for 7 yards (A.Verner).,7,0,Pass,B.Bortles,1,Complete,Short,,0,B.Walters,1,,,WR,,,,WR
2015101104,3,2.0,TB,4.0,4.0,JAC,TB,"(3:08) (Shotgun) B.Bortles pass short left to T.Yeldon for 4 yards, TOUCHDOWN.",4,1,Pass,B.Bortles,1,Complete,Short,,0,T.Yeldon,1,,RB,,,,,RB
2015101104,4,1.0,JAC,13.0,13.0,TB,JAC,(10:01) R.Fragel reported in as eligible.  C.Sims right end pushed ob at JAC 4 for 9 yards (J.Cyprien).,9,0,Run,,0,,,C.Sims,1,,0,RB,,,,,,RB
2015101104,4,1.0,JAC,2.0,2.0,TB,JAC,"(9:16) R.Fragel reported in as eligible.  C.Sims up the middle to JAC 1 for 1 yard (J.Odrick, A.Jones).",1,0,Run,,0,,,C.Sims,1,,0,RB,,,,,,RB
2015101104,4,2.0,JAC,1.0,1.0,TB,JAC,"(8:30) R.Fragel reported in as eligible.  D.Martin up the middle for 1 yard, TOUCHDOWN.",1,1,Run,,0,,,D.Martin,1,,0,RB,,,,,,RB
2015101104,4,1.0,TB,5.0,5.0,JAC,TB,"(1:10) (No Huddle, Shotgun) B.Bortles pass short right to A.Robinson for 5 yards, TOUCHDOWN.",5,1,Pass,B.Bortles,1,Complete,Short,,0,A.Robinson,1,,,WR,,,,WR
